row_number,variable_name,issue_type,current_value,details
154,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
155,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
156,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
157,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
158,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
159,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
160,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation"""
121,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
122,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
123,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
124,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
125,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
126,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
127,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
128,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
129,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
130,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
131,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
132,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
133,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
134,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
135,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
136,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
137,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
138,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
139,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
140,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
141,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
142,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
143,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
144,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
145,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
146,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
