row_number,variable_name,issue_type,current_value,details,missing_category
112,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
113,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
114,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
115,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
116,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
117,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
118,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
119,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
120,AnyOtherPleaseSpecify,Missing Value,NaN,"Missing value in column ""AnyOtherPleaseSpecify""",conditional
6,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
7,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
10,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
11,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
16,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
